"id";"nombre";"encuesta_id"
1;"Desmontaje";3
2;"Ensamble";3
3;"Montaje";3
4;"Ajustes";3
5;"Operaciones internas y externas";3
6;"Planeación para el cambio";3
7;"Planeación para el cambio";3
8;"Validación y Control";3
9;"Medición (Tiempos, merma, fallas)";4
10;"Procesos manuales";4
11;"Procesos automatizados";4
12;"Elementos de ajustes";4
13;"Sistema de fijación modular";4
14;"Herramientas del fabricante";4
15;"Ubicación herramientas";4
16;"Dispositivos de liberación rápida";4
17;"Elementos de ajustes";4
18;"Accesos a la máquina o herramientas";4
19;"Transporte de las herramientas";4
20;"Limpieza";4
21;"Materiales ligeros";4
22;"Simplificación";4
23;"Simplificación";4
24;"Estandarización";4
25;"Sujeción";4
26;"Universalidad";4
27;"Sistemas tolerantes a la variación";4
28;"Equipo de monitoreo";4
29;"Sistemas a prueba y error";4
30;"Configuración del proceso";4
31;"Equipo de monitoreo";4
32;"Identificación con facilidad de las piezas (color, grabado)";4
33;"Disminución del esfuerzo";4
34;"Mantenimiento";4
35;"Documentación del producto";2
36;"Especificaciones de calidad";2
37;"Variedad de productos";2
38;"Variedad de productos";2
39;"Tamaño del lote";2
40;"Características estándar del producto";2
41;"Configuraciones de productos";2
42;"Habilidades de las personas";1
43;"Cultura";1
44;"Capacitación/entrenamiento";1
45;"Capacitación/entrenamiento";1
46;"Capacitación/entrenamiento";1
47;"Compromiso";1
48;"Compromiso";1
49;"Polifuncionalidad";1
50;"Especialización";1
51;"Calidad de las tareas";1
52;"Trabajo en equipo";1
53;"Comunicación";1
54;"Liderazgo";1
55;"Motivación";1
56;"Responsables de proyectos de mejora";1
57;"Número de operadores";1
58;"Esfuerzo físico";1
59;"Estructura organizacional";5
60;"Grupo de mejora continua";5
61;"Objetivos de la compañía";5
62;"Objetivos de la compañía";5
63;"Objetivos de la compañía";5
64;"Empleo de herramientas de mejora continua";5
65;"Empleo de herramientas de mejora continua";5
66;"Empleo de herramientas de mejora continua";5
67;"Equilibrio de la carga de trabajo";5
68;"Estructura organizacional";5
69;"Procedimientos Documentados";5
70;"Seguimiento de procedimientos";5
71;"Documentos para el seguimiento";5
72;"Seguimiento de procedimientos";5
73;"Procedimientos Documentados";5
74;"Secuencia de trabajo";5
75;"Procedimientos Documentados";5
76;"Planeación de la producción";5
77;"Condiciones ambientales";5
78;"Condiciones ambientales";5
79;"Seguridad";5
